Matrix,1 Threads
gre_216b,1543.0
gre_343,2097.0
gre_512,2906.0
grid1,1436.0
grid1_dual,1373.0
grid2,11424.0
grid2_dual,11176.0
gupta1,1602690.0
gyro,731388.0
gyro_k,729630.0
hangGlider_1,3282.0
hangGlider_2,11387.0
hangGlider_3,66429.0
hangGlider_4,111808.0
hangGlider_5,126719.0
har_10NN,213136.0
heart1,656600.0
hep-th,52390.0
hi2010,361801.0
hor_131,4255.0
hvdc1,313396.0
hvdc2,2736760.0
hydr1,23320.0
hydr1c,23034.0
ibm32,708.0
igbt3,220542.0
iiasa,6108.0
illc1033,5436.0
illc1850,9685.0
impcol_a,1264.0
impcol_b,947.0
impcol_c,1087.0
impcol_d,2293.0
impcol_e,1845.0
indianpines_10NN,171436.0
init_adder1,11289.0
internet,757329.0
invextr1_new,1213870.0
iprob,7054.0
iris_dataset_30NN,3796.0
jagmesh1,6631.0
jagmesh2,6922.0
jagmesh3,7376.0
jagmesh4,9338.0
jagmesh5,7741.0
jagmesh6,8949.0
jagmesh7,7372.0
jagmesh8,7330.0
jagmesh9,8932.0
jan99jac020,34513.0
jan99jac020sc,36149.0
jan99jac040,130629.0
jan99jac040sc,128815.0
jan99jac060,197907.0
jan99jac060sc,194495.0
jan99jac080,264771.0
jan99jac080sc,271228.0
jan99jac100,367074.0
jan99jac100sc,363770.0
jan99jac120,439817.0
jan99jac120sc,446343.0
jazz,5123.0
jendrec1,49147.0
jgl009,641.0
jgl011,699.0
jnlbrng1,210421.0
jpwh_991,5810.0
juba40k,361538.0
karate,813.0
karted,1763460.0
kineticBatchReactor_1,15235.0
kineticBatchReactor_2,32919.0
kineticBatchReactor_3,38032.0
kineticBatchReactor_4,63676.0
kineticBatchReactor_5,75377.0
kineticBatchReactor_6,74771.0
kineticBatchReactor_7,77628.0
kineticBatchReactor_8,80792.0
kineticBatchReactor_9,81893.0
kkt_power,24984400.0
kl02,98341.0
kleemin,647.0
klein-b1,669.0
klein-b2,644.0
kmnist_norm_10NN,214290.0
kneser_6_2_1,2890.0
kneser_8_3_1,75812.0
l30,34520.0
l9,4923.0
landmark,602759.0
language,3155910.0
lap_25,762.0
large,18930.0
laser,8790.0
lesmis,1054.0
lhr01,14040.0
lhr02,24608.0
lhr04,51246.0
lhr04c,51285.0
lhr07,93622.0
lhr07c,93710.0
lhr10,140678.0
lhr10c,140549.0
lhr11,141837.0
lhr11c,141008.0
lhr71,921175.0
lhr71c,919895.0
li,870403.0
linverse,54676.0
lns_131,1181.0
lns_3937,21539.0
lns_511,3288.0
lnsp3937,23147.0
lnsp_131,1240.0
lnsp_511,3294.0
lock1074,29175.0
lock2232,44045.0
lock3491,100570.0
lock_700,14675.0
lop163,1483.0
lowThrust_1,5121.0
lowThrust_10,228312.0
lowThrust_11,233435.0
lowThrust_12,227807.0
lowThrust_13,229752.0
lowThrust_2,18474.0
lowThrust_3,56588.0
lowThrust_4,119040.0
lowThrust_5,193756.0
lowThrust_6,206900.0
lowThrust_7,211161.0
lowThrust_8,216637.0
lowThrust_9,225451.0
lp22,48995.0
lp_25fv47,7882.0
lp_80bau3b,18764.0
lp_adlittle,1057.0
lp_afiro,691.0
lp_agg,3209.0
lp_agg2,4207.0
